MeldeLandkreisBundesland;11.09.2021;12.09.2021;13.09.2021;14.09.2021;15.09.2021;16.09.2021;17.09.2021;18.09.2021;19.09.2021;20.09.2021;21.09.2021;22.09.2021;23.09.2021;24.09.2021;25.09.2021;26.09.2021;27.09.2021;28.09.2021;29.09.2021;30.09.2021;01.10.2021;02.10.2021;03.10.2021;04.10.2021;05.10.2021;06.10.2021;07.10.2021;08.10.2021;09.10.2021;10.10.2021;11.10.2021;12.10.2021;13.10.2021;14.10.2021;15.10.2021;16.10.2021;17.10.2021;18.10.2021;19.10.2021;20.10.2021;21.10.2021;22.10.2021;23.10.2021;24.10.2021;25.10.2021;26.10.2021;27.10.2021;28.10.2021;29.10.2021;30.10.2021;31.10.2021;01.11.2021;02.11.2021;03.11.2021;04.11.2021;05.11.2021;06.11.2021;07.11.2021;08.11.2021;09.11.2021;10.11.2021;11.11.2021;12.11.2021;13.11.2021;14.11.2021;15.11.2021;16.11.2021;17.11.2021;18.11.2021;19.11.2021;20.11.2021;21.11.2021;22.11.2021;23.11.2021;24.11.2021;25.11.2021;26.11.2021;27.11.2021;28.11.2021;29.11.2021;30.11.2021;01.12.2021;02.12.2021;03.12.2021;04.12.2021;05.12.2021;06.12.2021;07.12.2021;08.12.2021;09.12.2021;10.12.2021;11.12.2021;12.12.2021;13.12.2021;14.12.2021;15.12.2021;16.12.2021;17.12.2021;18.12.2021;19.12.2021;20.12.2021;21.12.2021;22.12.2021;23.12.2021;24.12.2021;25.12.2021;26.12.2021;27.12.2021;28.12.2021;29.12.2021;30.12.2021;31.12.2021;01.01.2022;02.01.2022;03.01.2022;04.01.2022;05.01.2022;06.01.2022;07.01.2022;08.01.2022;09.01.2022;10.01.2022;11.01.2022;12.01.2022;13.01.2022;14.01.2022;15.01.2022;16.01.2022;17.01.2022;18.01.2022;19.01.2022;20.01.2022;21.01.2022;22.01.2022;23.01.2022;24.01.2022;25.01.2022;26.01.2022;27.01.2022;28.01.2022;29.01.2022;30.01.2022;31.01.2022;01.02.2022;02.02.2022;03.02.2022;04.02.2022;05.02.2022;06.02.2022;07.02.2022;08.02.2022;09.02.2022;10.02.2022;11.02.2022;12.02.2022;13.02.2022;14.02.2022;15.02.2022;16.02.2022;17.02.2022;18.02.2022;19.02.2022;20.02.2022;21.02.2022;22.02.2022;23.02.2022;24.02.2022;25.02.2022;26.02.2022;27.02.2022;28.02.2022;01.03.2022;02.03.2022;03.03.2022;04.03.2022;05.03.2022;06.03.2022;07.03.2022;08.03.2022;09.03.2022;10.03.2022;11.03.2022;12.03.2022;13.03.2022;14.03.2022;15.03.2022;16.03.2022;17.03.2022;18.03.2022;19.03.2022;20.03.2022;21.03.2022;22.03.2022;23.03.2022;24.03.2022;25.03.2022;26.03.2022;27.03.2022;28.03.2022;29.03.2022;30.03.2022;31.03.2022;01.04.2022;02.04.2022;03.04.2022;04.04.2022;05.04.2022;06.04.2022;07.04.2022;08.04.2022;09.04.2022;10.04.2022;11.04.2022;12.04.2022;13.04.2022;14.04.2022;15.04.2022;16.04.2022;17.04.2022;18.04.2022;19.04.2022;20.04.2022;21.04.2022;22.04.2022;23.04.2022;24.04.2022;25.04.2022;26.04.2022;27.04.2022;28.04.2022;29.04.2022;30.04.2022;01.05.2022;02.05.2022;03.05.2022;04.05.2022;05.05.2022;06.05.2022;07.05.2022;08.05.2022;09.05.2022;10.05.2022;11.05.2022;12.05.2022;13.05.2022;14.05.2022;15.05.2022;16.05.2022;17.05.2022;18.05.2022;19.05.2022;20.05.2022;21.05.2022;22.05.2022;23.05.2022;24.05.2022;25.05.2022;26.05.2022;27.05.2022;28.05.2022;29.05.2022;30.05.2022;31.05.2022;01.06.2022;02.06.2022;03.06.2022;04.06.2022;05.06.2022;06.06.2022;07.06.2022;08.06.2022;09.06.2022;10.06.2022;11.06.2022;12.06.2022;13.06.2022;14.06.2022;15.06.2022;16.06.2022;17.06.2022;18.06.2022;19.06.2022;20.06.2022;21.06.2022;22.06.2022;23.06.2022;24.06.2022;25.06.2022;26.06.2022;27.06.2022;28.06.2022;29.06.2022;30.06.2022;01.07.2022;02.07.2022;03.07.2022;04.07.2022;05.07.2022;06.07.2022;07.07.2022;08.07.2022;09.07.2022;10.07.2022;11.07.2022;12.07.2022;13.07.2022;14.07.2022;15.07.2022;16.07.2022;17.07.2022;18.07.2022;19.07.2022;20.07.2022;21.07.2022;22.07.2022;23.07.2022;24.07.2022;25.07.2022;26.07.2022;27.07.2022;28.07.2022;29.07.2022;30.07.2022;31.07.2022;01.08.2022;02.08.2022;03.08.2022;04.08.2022;05.08.2022;06.08.2022;07.08.2022;08.08.2022;09.08.2022;10.08.2022;11.08.2022;12.08.2022;13.08.2022;14.08.2022;15.08.2022;16.08.2022;17.08.2022;18.08.2022;19.08.2022;20.08.2022;21.08.2022;22.08.2022;23.08.2022;24.08.2022;25.08.2022;26.08.2022;27.08.2022;28.08.2022;29.08.2022;30.08.2022;31.08.2022;01.09.2022;02.09.2022;03.09.2022;04.09.2022;05.09.2022;06.09.2022;07.09.2022;08.09.2022;09.09.2022;10.09.2022;11.09.2022;12.09.2022;13.09.2022;14.09.2022;15.09.2022;16.09.2022;17.09.2022;18.09.2022;19.09.2022;20.09.2022;21.09.2022;22.09.2022;23.09.2022;24.09.2022;25.09.2022;26.09.2022
Baden-Wuerttemberg;10366;8778;10190;10097;10141;10314;10469;10255;10443;10348;9857;9307;8958;8981;8865;8907;8978;8767;8911;9200;9148;9151;9189;9374;8916;8731;8695;8907;9178;9535;9562;8969;9417;9514;9829;10334;10680;10896;10730;11452;10621;13636;14202;15097;15809;15883;16468;17905;18992;20113;20848;21721;21018;18403;19242;21443;23452;24959;26107;28521;32965;35091;36895;39149;41116;42854;41863;42504;44159;45972;46777;48631;50425;51014;52186;52905;54398;56171;57151;57686;56789;56502;57680;57468;58322;58116;59201;57370;56360;56113;54598;51907;51365;50798;47681;44790;42450;41103;39206;38348;38371;36515;34051;32312;30439;28078;24530;24649;23580;23371;23920;24257;25503;26106;26471;26505;27949;29924;28466;29921;33276;35607;35983;39653;38584;53145;57677;59839;60606;61048;63916;68498;74081;81530;88358;94870;97420;96563;107631;113711;120099;124736;128175;132286;134878;142647;151425;157072;162773;169211;168264;170702;171289;173709;175988;178933;182243;182855;180363;182422;182747;178315;179414;179371;173397;169409;165931;161212;160355;159245;156082;155678;150475;150752;151886;155308;161109;164987;164864;172327;182847;188858;198839;203609;207748;211103;210505;212307;213974;214610;216803;215664;216695;213871;215336;213316;207458;186004;172478;193898;188306;181976;176193;169178;152879;145568;151386;141882;133474;125484;120407;110848;106251;116126;112613;110513;108389;90153;81916;77527;57925;72018;75357;74337;82850;78636;75442;92653;88398;81956;76029;71425;66601;64183;64217;59520;58121;56799;55306;51464;49728;53177;52332;51580;49433;48846;45992;44477;45513;42275;39587;37158;35006;32914;31854;30435;27612;25251;19914;20090;18590;18036;18544;18596;19817;23434;23711;22605;21823;17102;20665;23473;26526;28370;27038;26199;35229;36703;36950;30160;33205;31470;30514;34767;39995;43759;54040;54801;52630;51576;56487;57643;61470;62666;64806;62379;60972;66486;69274;72611;75703;79909;76888;75515;80983;83953;88960;86701;93651;90700;89248;94338;94114;91723;91575;87962;84775;83382;84889;81657;79502;75604;71721;68909;67511;64472;57581;53257;49177;47634;45185;44308;43162;40674;37438;34726;31706;29829;29149;28437;26442;25573;24982;24286;23063;22481;22163;21044;20738;20120;19529;18595;18107;18609;18051;18344;18361;18134;17203;16790;17177;16960;17264;17673;17764;17065;16633;18331;18803;19394;20222;20907;20172;19757;20771;21485;23474;24967;26709;25918;25539
Bayern;10913;11058;11349;11272;10734;11080;11399;11345;11299;11442;11435;11191;10580;10771;9804;10733;10874;10676;11021;11348;11539;11786;11712;11842;11831;11638;11548;11893;11814;12001;12173;12128;12005;12707;13167;13820;14321;14836;15256;16895;18534;20224;21512;22692;23540;24538;25132;27417;29158;30310;31026;32599;32707;30016;30847;33743;37318;38505;41549;45724;52007;56166;59780;62898;65224;69075;72817;74695;80093;82161;83515;84014;84091;84737;84663;84247;85746;83373;83069;82471;81236;77435;75109;73782;71441;69590;69172;68414;64804;61916;58827;56178;53694;52447;50270;46778;42373;41181;39435;37942;37470;36355;33583;32319;30098;27687;25319;25013;24764;22677;23559;23992;23862;24086;25096;26270;28025;30843;32041;35449;38776;42289;44612;49293;55210;62172;65807;69295;72464;75729;79772;86878;99203;108039;113513;121183;129313;140336;152295;160053;170983;177454;181942;186810;190712;203674;222810;228795;230736;234682;239031;241837;238826;238018;239643;236305;232847;234324;231902;234166;235927;234206;233039;235102;231521;231697;237067;225654;224464;222767;222852;221338;206861;205918;207735;203759;198038;202607;205034;212776;223368;235028;246551;254748;261588;266351;263918;273290;281448;285834;280346;280481;287232;286897;289072;289067;288755;287055;286211;281716;273811;268332;261832;249604;241541;237026;222459;213927;199008;181759;173680;169449;167304;160069;152801;144999;139427;128210;123050;123454;113340;101040;101724;102601;105882;106103;105436;111584;114064;110347;103540;101447;89917;82968;92003;88368;85418;84397;82943;75697;71415;79960;78055;77924;75946;73664;66829;63523;67651;63117;58114;53275;50134;45277;42563;43854;39361;36425;29111;29750;26475;24961;28165;28477;29418;34631;35113;33487;32502;25314;31955;36191;40540;42170;40591;39438;55968;57063;57904;47415;51241;48463;46998;53631;59554;64754;76217;74653;71977;70557;74116;75649;80146;83117;86731;83705;82291;87926;91335;93724;98294;99488;96581;95183;102986;103922;106666;100566;114932;111526;109311;117019;120072;125217;125923;125337;120464;118212;118934;114713;110380;103287;97128;93193;91373;84767;75634;68396;63599;59923;57708;56803;50287;49816;46509;44169;41538;39672;38957;28274;31236;32411;32378;31154;29953;29322;35719;33649;31077;30407;30398;29227;28746;30005;30143;29939;29259;29080;28144;27537;27499;27287;28491;29340;29711;28706;28256;30624;33037;34602;36145;37447;36393;35796;39359;39668;43587;46431;48441;47098;46368
Berlin;3069;3101;3078;3123;3126;3143;3056;2863;2869;2859;2773;2569;2533;2532;2522;2533;2534;2271;2420;2480;2725;2777;2758;2755;2807;2805;2866;2873;2832;2890;2854;2911;2946;2898;3102;3008;3141;3158;3389;3508;3980;4167;4243;4222;4211;4350;4579;4743;5054;5188;5099;5137;5719;5769;6066;6596;7295;7021;7125;8089;8348;9653;10230;11000;11202;11220;11573;12420;12482;12678;13037;12568;12385;12789;12773;12632;13082;13542;13616;13612;13633;13567;13244;13218;12875;12595;12508;12340;12555;12928;12538;11871;11532;11348;11278;10853;10557;10872;11504;11558;11604;11937;11950;12224;11808;10277;9815;10193;9639;9731;9389;10295;10359;9705;9712;10507;12324;15275;18743;23738;25124;25431;27013;31380;33658;34802;35061;35370;34726;35277;38661;42291;46107;53977;54366;53661;58387;65790;68271;67031;67639;67716;66722;64543;62083;65596;66079;65247;63312;62997;60105;57340;54802;51803;48544;47173;46732;41594;40964;37900;35801;39770;40715;40521;39538;39558;39478;41672;41659;40664;40551;38215;35411;33914;33045;32699;32486;32379;31260;25199;25365;26658;28434;28085;28053;31944;40392;40935;41949;40334;39433;39276;36537;39099;38879;39842;40669;41137;41146;39445;36839;34951;33557;32578;31965;31790;29839;29720;28116;27566;26195;25581;25515;24145;22210;22041;21187;17746;17718;17672;13106;12558;12847;12606;15145;14805;14692;19019;18321;19115;19249;19024;18550;18435;16799;16776;15237;13553;12599;12397;12382;12824;12395;12747;13071;13762;13840;13739;12714;11775;11170;10334;9832;9565;9579;9167;9191;9225;7407;7548;7354;7296;6932;6582;6949;7974;7299;6997;6924;5251;6340;6680;7585;8075;7914;7848;10727;10216;10325;10573;11329;10869;10776;12242;13099;14779;15925;15929;15328;15239;15775;15739;15508;17319;17330;16770;16621;18021;18583;19690;18725;19058;18527;18333;18468;17857;17820;18557;18591;18198;18045;18092;17693;17182;16320;15770;15199;15007;15221;15316;15099;15015;14341;13836;13741;13219;12240;12383;11946;11665;11303;11209;10827;10642;10615;10749;10720;10409;10335;10739;10131;9401;8553;7786;7539;7468;6348;5919;8295;9220;10365;10175;10157;10379;10623;8436;7596;7441;7276;7236;7635;7079;7241;7171;7078;6851;6808;7289;7489;7694;7687;7765;7522;7483;7557;7293;7398;7479;8219;8155;8109
Brandenburg;1082;1099;1122;1078;1091;1119;1106;1044;1037;1040;1007;996;946;964;921;912;909;879;874;931;975;956;972;997;1021;1051;1191;1182;1285;1338;1247;1272;1278;1292;1354;1372;1421;1440;1462;1618;1794;1987;2067;2135;2179;2279;2418;2636;2800;2945;3083;3248;3197;3394;4030;4547;5330;5747;5884;6200;6536;7231;8196;8675;9094;9520;10267;10969;11793;12834;13981;14162;14435;15189;15700;16596;16795;17078;17956;18366;18420;18285;16579;16980;16771;16374;16280;16113;16076;15231;17031;16302;16237;16652;16265;15537;14851;14605;14329;14723;14818;14420;13978;13382;12745;11415;10176;9913;9743;9208;9052;8977;9016;9277;9227;9136;10135;11032;11185;12185;12755;13110;12449;11718;12124;12738;13660;14509;14699;16079;17460;19967;23479;25916;27238;27901;30242;31931;32683;32688;33109;33476;33527;35063;37030;39893;42599;42589;41647;41348;42035;41869;43313;45165;45006;45484;45858;45906;44744;44371;42784;41850;42251;41927;40904;39094;36848;36748;36247;35853;35103;36204;35369;36032;36202;35594;35872;35346;36601;36323;36454;37247;37952;38436;37796;39660;39339;40054;40498;40351;37583;36901;38679;37885;36163;36073;35177;33718;33293;32609;30682;30187;28479;28002;26562;26193;25729;23871;22493;21065;19664;18930;18659;17879;16506;15988;16043;13363;12624;12425;9222;9343;10974;12099;14159;13699;13486;16481;16883;15613;14895;14022;13599;13370;11995;10911;10181;9865;9538;9236;9158;9244;8540;8642;7923;7917;7709;7672;7083;6054;5669;5567;5130;4977;4936;4601;4369;4024;3202;3031;2930;2892;3086;2997;3314;4080;4162;4036;4002;3139;3247;3860;4432;4927;4821;4792;6451;6980;7216;7105;7422;7167;7123;7393;8023;8983;9792;9918;9623;9532;10211;10358;10852;11415;11339;11112;10962;11185;10661;11907;12312;12884;12645;12569;13055;13379;12972;12454;12483;12127;12056;12390;12488;12710;13019;13044;12832;12767;13014;12892;12866;12151;11541;11225;11152;10686;9901;9292;9429;9250;9009;8945;8924;8286;8721;8793;8851;8662;8610;9131;8705;8659;8527;8359;8194;8142;7539;7356;7683;7646;7649;7509;7478;7388;7264;6693;6484;6503;6370;6341;6436;5932;6416;7076;7004;6877;6839;7178;7568;7901;7630;7852;7699;7649;7699;8092;8183;8442;8768;8560;8518
Bremen;850;778;798;798;776;767;741;720;713;754;736;700;726;757;785;778;744;767;788;794;823;778;783;771;776;721;740;719;701;708;696;686;653;582;540;528;496;515;495;478;492;493;479;480;459;472;503;511;528;538;578;583;585;592;573;565;581;596;604;597;626;628;684;702;688;771;784;778;908;955;1054;1132;1218;1249;1367;1295;1492;1519;1455;1489;1493;1449;1551;1386;1373;1172;1460;1466;1477;1519;1544;1554;1303;1502;1563;1541;1570;1725;1792;1802;1885;1907;1942;2017;1936;1802;1837;1861;1799;1943;1895;2233;2734;2848;3187;3512;3916;4854;5438;6688;7023;6992;8060;8820;9176;9707;9375;9530;9449;8824;8812;8807;8561;9016;8547;9439;10177;10756;10141;10805;10459;10312;10718;9656;8818;8736;8993;8750;8985;8930;9264;9541;9360;8867;8552;8455;8538;7205;6834;6562;5952;5967;5999;5751;5564;5103;5207;5641;5275;5098;4753;4842;4817;4782;4426;4514;4187;4002;4917;4970;5314;5712;5999;5783;5733;6812;7601;7924;8296;8579;9144;9609;9170;9055;8994;9524;8320;9690;10641;11314;12481;12709;12702;12293;12476;12516;10663;9616;9117;7767;7948;7469;6634;7815;8024;7657;7551;6635;7617;7172;5501;5715;5795;6202;7578;7163;7565;8138;7202;6733;5998;5277;4809;4236;4588;4716;4525;4274;4514;4414;4352;4461;4099;4299;4110;4155;3732;3692;3874;3665;3390;3165;2680;3060;3016;3166;2854;2656;2115;1947;1657;1635;1732;1676;1642;1979;2067;1856;2094;1691;1760;2055;2545;2741;2587;2856;3468;3768;3517;3589;3650;3394;3632;3702;3899;4197;4423;4718;4590;5229;5379;5303;5337;5551;5457;4969;4909;5041;4983;4788;4944;5279;5183;5178;5174;5306;5492;5686;5773;5673;5672;5070;5001;4652;4870;4978;4863;4859;4895;5190;4751;4303;4208;4099;4099;3796;3400;3388;3068;2858;2757;2757;2493;2356;2340;2409;2470;2405;2402;2396;2121;2374;2236;2334;2259;2256;2090;2000;1841;1831;1910;1873;1873;1849;1845;1838;1873;1811;1749;1747;1771;1842;1779;1846;1960;1916;1915;1868;2085;2162;2295;2339;2275;2275;2205;2134;2147;2182;2176;2133;2131
Hamburg;1442;1407;1397;1310;1191;1214;1187;1116;1118;1122;1065;974;928;971;963;1004;1048;1003;1004;955;1081;1272;1169;1189;1262;1130;1063;1038;1017;1022;957;941;933;948;948;967;1073;1101;1090;1141;1303;1465;1600;1708;1862;1798;1656;1711;1792;1859;1865;2004;2134;2014;1990;2182;2324;2409;2472;2568;2432;2500;2529;2643;2967;3094;3048;2806;2942;2954;2917;3400;3612;3646;3462;3434;3712;3903;4108;4222;3955;3782;3626;3764;3785;3950;4159;4037;3910;3597;3845;4015;4185;4290;4291;4235;4371;4496;4972;5323;5339;5189;5511;5689;5657;5750;5899;6044;5046;4938;5037;5634;6435;6677;7358;7229;7240;7591;8227;9208;10656;10390;10764;10539;10676;12319;13666;15403;14928;16674;18425;20074;22636;25837;28767;28453;28666;23162;29940;30999;32366;35037;32980;29610;27993;27521;27313;26628;29101;28274;26034;24063;22727;22333;22431;23944;22834;20107;18767;18158;16630;16264;17683;17521;14826;12997;12418;11779;10816;11091;11453;10155;9202;8954;9987;10112;11318;11474;11041;10887;11200;11923;12875;14274;14430;13974;15329;15631;17124;18179;20420;20688;18305;17950;18919;19982;21335;22925;23505;20524;19648;20122;20187;20436;22159;22042;20582;18723;18415;18285;19284;21442;21146;19275;18145;18532;17601;17705;18687;18012;16001;13117;12558;13035;14792;16854;17357;16775;16847;17260;16003;15801;15448;15516;13074;10098;9355;9684;9593;10078;9917;9356;8207;8468;8675;8423;8825;8858;8433;6918;6664;6686;6396;5611;5065;6167;5211;4847;3580;4226;3764;3356;4413;4634;4521;5197;5474;4922;4567;3540;5471;4920;6135;6954;6281;5908;9297;8517;8745;8953;9297;8615;7688;9844;9083;9842;11697;12799;12125;11336;13101;12732;12016;12646;12824;12017;13229;12730;11749;11246;11730;12236;11439;12431;12186;10369;10262;10584;10758;9964;9093;9882;9661;8925;8890;9636;8978;8242;8834;7407;6655;6412;6919;6206;6431;6107;5606;5683;5339;5186;4735;4413;5021;4276;4212;4241;4964;4608;4191;4618;4289;4487;4436;4375;3951;3677;4199;3584;3584;3571;3477;3195;2813;3326;2641;1882;2936;3025;2816;2544;3170;2443;2553;2719;2801;2599;2292;2925;2593;2836;2943;3084;2879;2504;3080;2626;2773;2877;3059;2801;2532
Hessen;6687;6626;6539;6330;6013;5723;5465;5095;4973;4918;4681;4555;4317;4169;4159;4076;4161;4018;4030;4111;4103;4001;3997;4000;3913;3862;3789;3828;3816;3939;3925;3852;3641;3497;3399;3428;3503;3532;3373;3850;4136;4411;4591;4988;5045;5176;5847;6482;7022;7220;7474;7816;7735;7950;8182;8548;8925;9123;9374;9423;9841;10341;10799;10896;11429;11633;11857;12302;13083;13505;13757;14374;14855;15104;15869;16238;16887;17388;17397;17507;17164;16882;17569;17034;17055;17059;16940;16999;16889;16783;16652;16580;16258;16328;15583;15044;14551;13926;13301;12728;12731;12654;12386;12322;12321;11749;10640;10546;10575;11018;11363;12194;12377;12715;12843;14007;15880;17741;18895;21162;22848;23719;24299;26278;29464;32855;36468;37905;39442;42584;43729;46546;52090;54990;57881;59009;64529;68810;75650;80899;85028;87841;88795;92995;96475;99427;102065;102505;103876;105095;104716;106003;105367;104984;102955;100286;96844;92868;87862;82473;80143;76248;75649;75235;71620;68773;64403;63250;61294;60582;59461;57989;55490;55675;55222;55338;57379;57885;58769;61602;64098;64753;67488;68488;68246;71304;72639;76327;79069;80923;80291;80836;85872;88406;91618;93449;94060;96538;96469;96249;97066;94794;93838;93996;90509;89249;83782;81207;76971;72594;69491;68195;66722;69014;68062;66405;65798;58071;58814;57058;49499;50044;55051;56253;62581;61084;59500;66760;64016;61809;57388;54271;48842;46549;46433;44481;40897;39720;38263;35206;34457;38378;37380;37742;37534;37569;35580;34477;34521;32959;30248;27491;26016;24221;23702;23458;21803;20616;17216;17810;16975;16507;17158;17998;19476;22942;23951;23150;22674;17311;21220;24843;26370;29539;28544;28135;40307;42129;42303;35624;37988;36304;35461;37087;38522;42035;49429;47983;46253;45319;47953;49525;48361;50696;51701;49962;48784;52051;51549;53078;55799;55898;53917;52799;58273;61323;62417;64101;67687;65590;64345;67369;65511;67536;63853;59936;57135;55842;56894;53997;48979;51252;48351;45792;44692;42126;38725;36219;34892;33090;31345;30821;30457;28810;27290;25351;25448;24178;23574;23483;22902;23153;23654;22359;21378;21010;20624;19330;18597;17412;16102;15530;15174;15588;16024;15697;15734;15701;15176;14892;14974;15479;15770;16407;16566;15865;15605;17023;17019;18123;18466;19599;18875;18584;21066;22636;23838;25195;25981;25079;24580
